,Name,Address,Tel,Fax,Email,Schedule,Link
53,Apotheke Ebenthal,"St. Jakober Straße 1
9065 Ebenthal",+43-463-318610,+43-463-318611,office@apo-ebenthal.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/klagenfurt-land/11-apotheke-ebenthal
54,Rittersporn Apotheke,"Landesstraße 1-3
9130 Poggersdorf",+43-4224-34000,,office@rittersporn-apotheke.at,"{'Montag:': '8:00 - 13:00, 14:00 - 18:00', 'Dienstag:': '8:00 - 13:00, 14:00 - 18:00', 'Mittwoch:': '8:00 - 13:00, 14:00 - 18:00', 'Donnerstag:': '8:00 - 13:00, 14:00 - 18:00', 'Freitag:': '8:00 - 13:00, 14:00 - 18:00', 'Samstag:': 'geschlossen'}",http://www.apothekenindex.at/apotheken/kaernten/klagenfurt-land/1416-rittersporn-apotheke
55,Kornblumen Apotheke,"10. Oktober Strasse 5
9131 Grafenstein",+43-720-349542,+43-720-345609,office@kornblumen-apotheke.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/klagenfurt-land/1372-kornblumen-apotheke
56,Adler-Apotheke,"Hauptplatz 16
9170 Ferlach",+43-4227-2225,+43-4227-2572,adler@apothekeferlach.at,"{'Montag:': '8:00 - 12:30, 14:30 - 18:00', 'Dienstag:': '8:00 - 12:30, 14:30 - 18:00', 'Mittwoch:': '8:00 - 12:30, 14:30 - 18:00', 'Donnerstag:': '8:00 - 12:30, 14:30 - 18:00', 'Freitag:': '8:00 - 12:30, 14:30 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/klagenfurt-land/920-adler-apotheke
57,Karawanken-Apotheke,"Klagenfurter Straße 44
9170 Ferlach",+43-4227-28600,+43-4227-28600-20,office@karawanken-apotheke.at,"{'Montag:': '8:00 - 12:30, 14:30 - 18:00', 'Dienstag:': '8:00 - 12:30, 14:30 - 18:00', 'Mittwoch:': '8:00 - 12:30, 14:30 - 18:00', 'Donnerstag:': '8:00 - 12:30, 14:30 - 18:00', 'Freitag:': '8:00 - 12:30, 14:30 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/klagenfurt-land/1299-karawanken-apotheke
58,See-Apotheke,"Hauptstraße 162
9201 Krumpendorf",+43-4229-2634,+43-4229-20213, ,"{'Montag:': '8:00 - 12:30, 14:30 - 18:30', 'Dienstag:': '8:00 - 12:30, 14:30 - 18:30', 'Mittwoch:': '8:00 - 12:30, 14:30 - 18:30', 'Donnerstag:': '8:00 - 12:30, 14:30 - 18:30', 'Freitag:': '8:00 - 12:30, 14:30 - 18:30', 'Samstag:': '8:00 - 12:30'}",http://www.apothekenindex.at/apotheken/kaernten/klagenfurt-land/966-see-apotheke
59,St. Anna-Apotheke,"Hauptstraße 210
9210 Pörtschach",+43-4272-2214,+43-4272-2214-20,info@apo9210.at,"{'Montag:': '8:00 - 12:30, 14:30 - 18:00', 'Dienstag:': '8:00 - 12:30, 14:30 - 18:00', 'Mittwoch:': '8:00 - 12:30, 14:30 - 18:00', 'Donnerstag:': '8:00 - 12:30, 14:30 - 18:00', 'Freitag:': '8:00 - 12:30, 14:30 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/klagenfurt-land/959-st-anna-apotheke
60,Die Apotheke Dr. Fellner,"Siebenhügelstraße 15
9020 Klagenfurt",+43-463-204670,+43-463-204670-22,fellner@apotheke-waidmannsdorf.at,"{'Montag:': '8:00 - 12:30, 14:30 - 18:00', 'Dienstag:': '8:00 - 12:30, 14:30 - 18:00', 'Mittwoch:': '8:00 - 12:30, 14:30 - 18:00', 'Donnerstag:': '8:00 - 12:30, 14:30 - 18:00', 'Freitag:': '8:00 - 12:30, 14:30 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/klagenfurt-stadt/993-die-apotheke-dr-fellner
61,Löwen-Apotheke,"Villacher Straße 8
9020 Klagenfurt",+43-463-56156,+43-463-56156-16,info@loewenapotheke-klagenfurt.at,"{'Montag:': '8:00 - 12:30, 14:30 - 18:00', 'Dienstag:': '8:00 - 12:30, 14:30 - 18:00', 'Mittwoch:': '8:00 - 12:30, 14:30 - 18:00', 'Donnerstag:': '8:00 - 12:30, 14:30 - 18:00', 'Freitag:': '8:00 - 12:30, 14:30 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/klagenfurt-stadt/931-loewen-apotheke
62,Bären-Apotheke,"Rosentaler Straße 73
9020 Klagenfurt",+43-463-22225,+43-463-22225-17,baerenapotheke@hotmail.com,"{'Montag:': '8:00 - 12:30, 14:30 - 18:00 ', 'Dienstag:': '8:00 - 12:30, 14:30 - 18:00 ', 'Mittwoch:': '8:00 - 12:30, 14:30 - 18:00 ', 'Donnerstag:': '8:00 - 12:30, 14:30 - 18:00 ', 'Freitag:': '8:00 - 12:30, 14:30 - 18:00 ', 'Samstag:': '8:00 - 12:00 '}",http://www.apothekenindex.at/apotheken/kaernten/klagenfurt-stadt/968-baeren-apotheke
63,Lendorf-Apotheke,"Feldkirchnerstraße 219
9020 Klagenfurt",+43-463-40300,+43-463-40300-20,office@lendorf-apotheke.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/klagenfurt-stadt/10-lendorf-apotheke
64,Feschnig Apotheke,"Paracelsusgasse 16
9020 Klagenfurt",+43-463-430010,+43-463-430010-15,info@feschnig-apotheke.at,"{'Montag:': '8:00 - 12:30, 14:30 - 18:00', 'Dienstag:': '8:00 - 12:30, 14:30 - 18:00', 'Mittwoch:': '8:00 - 12:30, 14:30 - 18:00', 'Donnerstag:': '8:00 - 12:30, 14:30 - 18:00', 'Freitag:': '8:00 - 12:30, 14:30 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/klagenfurt-stadt/990-feschnig-apotheke
65,Engel-Apotheke,"Bahnhofstraße 3
9020 Klagenfurt",+43-463-54916,+43-463-54916-77,office@engel-apotheke.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/klagenfurt-stadt/930-engel-apotheke
66,Ring-Apotheke,"Viktringer Ring 1a
9020 Klagenfurt",+43-463-31752,+43-463-31752-4,ring-apo@aon.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/klagenfurt-stadt/965-ring-apotheke
67,Sankt Georg Apotheke,"St. Veiter Straße 34
9020 Klagenfurt",+43-463-594900,+43-463-594900-4,st.georg.apo@utanet.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/klagenfurt-stadt/989-sankt-georg-apotheke
68,Apotheke vorm Lindwurm,"Neuer Platz 9
9020 Klagenfurt",+43-463-512575,+43-463-515602,service@apothekevormlindwurm.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/klagenfurt-stadt/929-apotheke-vorm-lindwurm
69,Bernstein Apotheke,"Rosentaler Strasse 224
9020 Klagenfurt",+43-463-281470,+43-463-281470-4,office@bernsteinapotheke.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/klagenfurt-stadt/1384-bernstein-apotheke
70,Paracelsus-Apotheke,"10.-Oktober-Straße 14
9020 Klagenfurt",+43-463-54138,+43-463-54138-4,office@paracelsusapo.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/klagenfurt-stadt/963-paracelsus-apotheke
71,Uni-Apotheke,"Universitätsstraße 23
9020 Klagenfurt",+43-463-210349,+43-463-210349-4,office@uni-apotheke.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/klagenfurt-stadt/987-uni-apotheke
72,team santé obelisk apotheke,"Völkermarkter Ring 14
9020 Klagenfurt",+43-463-513250,+43-463-513250-4,obeliskapotheke9020@teamsante.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/klagenfurt-stadt/928-team-sant-obelisk-apotheke
73,Südring - Apotheke,"Ebentaler Strasse 149
9020 Klagenfurt",+43-463-381368,+43-463-381368-20,office@suedring-apotheke.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/klagenfurt-stadt/1361-suedring-apotheke
74,St. Peter-Apotheke,"Völkermarkter Straße 134
9020 Klagenfurt",+43-463-31128,+43-463-31128-4,office@stpeterapotheke.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/klagenfurt-stadt/961-st-peter-apotheke
75,Noreia-Apotheke,"Pischeldorfer Straße 105
9020 Klagenfurt",+43-463-45893,+43-463-45893-20,office@noreia-apotheke.at,"{'Montag:': '8:00 - 12:30, 14:30 - 18:00', 'Dienstag:': '8:00 - 12:30, 14:30 - 18:00', 'Mittwoch:': '8:00 - 12:30, 14:30 - 18:00', 'Donnerstag:': '8:00 - 12:30, 14:30 - 18:00', 'Freitag:': '8:00 - 12:30, 14:30 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/klagenfurt-stadt/983-noreia-apotheke
76,Hirschen-Apotheke,"St. Ruprechter Straße 22
9020 Klagenfurt",+43-463-55070,+43-463-55070-70,hirschenapotheke@aon.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/klagenfurt-stadt/927-hirschen-apotheke
77,Vitalis Apotheke,"Durchlaßstraße 4
9020 Klagenfurt",+43-463-210999,+43-463-210999-4,office@vitalis-apotheke.or.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 18:00'}",http://www.apothekenindex.at/apotheken/kaernten/klagenfurt-stadt/1333-vitalis-apotheke
78,Obir-Apotheke,"Baumbachplatz 21
9020 Klagenfurt",+43-463-23225,+43-463-23225-6,obir-apotheke@chello.at,"{'Montag:': '8:00 - 12:30, 14:30 - 18:00', 'Dienstag:': '8:00 - 12:30, 14:30 - 18:00', 'Mittwoch:': '8:00 - 12:30, 14:30 - 18:00', 'Donnerstag:': '8:00 - 12:30, 14:30 - 18:00', 'Freitag:': '8:00 - 12:30, 14:30 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/klagenfurt-stadt/958-obir-apotheke
79,Fischl-Apotheke,"Ebentaler Straße 59
9020 Klagenfurt",+43-463-33244,+43-463-33244-6,office@fischlapotheke.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/klagenfurt-stadt/977-fischl-apotheke
80,Beneficium Kreuzbergl-Apotheke,"Radetzkystraße 20
9020 Klagenfurt",+43-463-511507,+43-463-511507-6,beneficium@kreuzbergl-apotheke.at,"{'Montag:': '8:00 - 12:30, 14:30 - 18:00', 'Dienstag:': '8:00 - 12:30, 14:30 - 18:00', 'Mittwoch:': '8:00 - 12:30, 14:30 - 18:00', 'Donnerstag:': '8:00 - 12:30, 14:30 - 18:00', 'Freitag:': '8:00 - 12:30, 14:30 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/klagenfurt-stadt/926-beneficium-kreuzbergl-apotheke
81,Sonnenapotheke,"Pischeldorfer Straße 187
9020 Klagenfurt",+43-463-908080,+43-463-908080-4,office@sonnenapotheke-lillak.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/klagenfurt-stadt/996-sonnenapotheke
82,Nord-Apotheke,"St. Veiter Straße 109
9020 Klagenfurt",+43-463-41771,+43-463-41771-4,nord-apo@aon.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/klagenfurt-stadt/956-nord-apotheke
83,Landschafts-Apotheke,"Alter Platz 32
9020 Klagenfurt",+43-463-55077,+43-463-512750,alter.platz@aon.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/klagenfurt-stadt/925-landschafts-apotheke
84,Apotheke Viktring,"Viktringer Platz 13
9073 Klagenfurt-Viktring",+43-463-281131,+43-463-281131-4,apo.viktring@aon.at,"{'Montag:': '8:00 - 12:30, 14:30 - 18:00', 'Dienstag:': '8:00 - 12:30, 14:30 - 18:00', 'Mittwoch:': '8:00 - 12:30, 14:30 - 18:00', 'Donnerstag:': '8:00 - 12:30, 14:30 - 18:00', 'Freitag:': '8:00 - 12:30, 14:30 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/klagenfurt-stadt/972-apotheke-viktring
85,Paracelsus-Apotheke,"Paracelsusstraße 2
9545 Radenthein",+43-4246-2055,+43-4246-2055-16,info@apotheke-radenthein.at,"{'Montag:': '8:00 - 12:30, 14:30 - 18:00', 'Dienstag:': '8:00 - 12:30, 14:30 - 18:00', 'Mittwoch:': '8:00 - 12:30, 14:30 - 18:00', 'Donnerstag:': '8:00 - 12:30, 14:30 - 18:00', 'Freitag:': '8:00 - 12:30, 14:30 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/spittal-an-der-drau/937-paracelsus-apotheke
86,Kur-Apotheke,"Dorfstraße 70
9546 Bad Kleinkirchheim",+43-4240-8206,+43-4240-8206-20,apo.kleinkirchheim@speed.at,"{'Montag:': '8:30 - 12:30, 14:30 - 18:00', 'Dienstag:': '8:30 - 12:30, 14:30 - 18:00', 'Mittwoch:': '8:30 - 12:30, 14:30 - 18:00', 'Donnerstag:': '8:30 - 12:30, 14:30 - 18:00', 'Freitag:': '8:30 - 12:30, 14:30 - 18:00', 'Samstag:': '8:30 - 12:30'}",http://www.apothekenindex.at/apotheken/kaernten/spittal-an-der-drau/973-kur-apotheke
87,Laurentius-Apotheke,"Bahnhofstraße 63
9761 Greifenburg",+43-4712-288,+43-4712-288-16,info@laurentius-apotheke.at,"{'Montag:': '7:30 - 12:30, 15:00 - 18:00', 'Dienstag:': '7:30 - 12:30, 15:00 - 18:00', 'Mittwoch:': '7:30 - 12:30, 15:00 - 18:00', 'Donnerstag:': '7:30 - 12:30, 15:00 - 18:00', 'Freitag:': '7:30 - 12:30, 15:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/spittal-an-der-drau/923-laurentius-apotheke
88,Malchus-Apotheke,"Villacher Straße 15
9800 Spittal an der Drau",+43-4762-4394,+43-4762-4394-16,office@malchus-apotheke.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/spittal-an-der-drau/969-malchus-apotheke
89,Hubertus-Apotheke,"Tiroler Straße 14
9800 Spittal an der Drau",+43-4762-2333,+43-4762-37260,office@hubertus-apotheke.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/spittal-an-der-drau/945-hubertus-apotheke
90,Porcia Apotheke,"Hauptplatz 4
9800 Spittal an der Drau",+43-4762-5607,+43-4762-5607-23,office@porcia-apotheke.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/spittal-an-der-drau/944-porcia-apotheke
91,Tauern Apotheke,"Villacher Straße 136
9800 Spittal an der Drau",+43-4762-36188,+43-4762-36188-3,office@tauern-apotheke.or.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/spittal-an-der-drau/1394-tauern-apotheke
92,Teurnia-Apotheke,"Mölltalstraße 37
9813 Möllbrücke",+43-4769-2234,+43-4769-2234-18,teurnia-apotheke@aon.at,"{'Montag:': '8:00 - 12:30, 15:00 - 18:30', 'Dienstag:': '8:00 - 12:30, 15:00 - 18:30', 'Mittwoch:': '8:00 - 12:30, 15:00 - 18:30', 'Donnerstag:': '8:00 - 12:30, 15:00 - 18:30', 'Freitag:': '8:00 - 12:30, 15:00 - 18:30', 'Samstag:': '8:00 - 12:30'}",http://www.apothekenindex.at/apotheken/kaernten/spittal-an-der-drau/978-teurnia-apotheke
93,Adler-Apotheke,"Hauptplatz 53
9821 Obervellach",+43-4782-2244,+43-4782-2244-44,office@adler-apo.at,"{'Montag:': '8:30 - 13:00, 15:00 - 18:00', 'Dienstag:': '8:30 - 13:00, 15:00 - 18:00', 'Mittwoch:': '8:30 - 13:00, 15:00 - 18:00', 'Donnerstag:': '8:30 - 13:00, 15:00 - 18:00', 'Freitag:': '8:30 - 13:00, 15:00 - 18:00', 'Samstag:': '8:30 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/spittal-an-der-drau/934-adler-apotheke
94,Heiligen-Geist-Apotheke,"Hauptplatz 9
9853 Gmünd",+43-4732-2135,+43-4732-2135-20,apotheke.gmuend@aon.at,"{'Montag:': '7:45 - 13:00, 15:00 - 18:00', 'Dienstag:': '7:45 - 13:00, 15:00 - 18:00', 'Mittwoch:': '7:45 - 13:00, 15:00 - 18:00', 'Donnerstag:': '7:45 - 13:00, 15:00 - 18:00', 'Freitag:': '7:45 - 13:00, 15:00 - 18:00', 'Samstag:': '7:45 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/spittal-an-der-drau/922-heiligen-geist-apotheke
95,Jakobus-Apotheke,"Hauptstraße 50
9871 Seeboden",+43-4762-81602,+43-4762-81602-4,info@jakobus.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 13:00'}",http://www.apothekenindex.at/apotheken/kaernten/spittal-an-der-drau/981-jakobus-apotheke
96,See-Apotheke,"Georgsritter Platz 156
9872 Millstatt",+43-4766-2130,+43-4766-2130-30,office@seeapotheke-millstatt.at,"{'Montag:': '8:00 - 18:30', 'Dienstag:': '8:00 - 18:30', 'Mittwoch:': '8:00 - 18:30', 'Donnerstag:': '8:00 - 18:30', 'Freitag:': '8:00 - 18:30', 'Samstag:': '8:00 - 18:30', 'Sonntag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/spittal-an-der-drau/933-see-apotheke
97,Filialapotheke Döbriach,"Seestrasse 3
9873 Döbriach",+43-664-5826999,, ,"{'Montag:': '9:00 - 13:00, 16:00 - 19:00', 'Dienstag:': '9:00 - 13:00, 16:00 - 19:00', 'Mittwoch:': '9:00 - 13:00, 16:00 - 19:00', 'Donnerstag:': '9:00 - 13:00, 16:00 - 19:00', 'Freitag:': '9:00 - 13:00, 16:00 - 19:00', 'Samstag:': '9:00 - 13:00, 16:00 - 19:00'}",http://www.apothekenindex.at/apotheken/kaernten/spittal-an-der-drau/938-filialapotheke-doebriach
98,Apotheke Wayerfeld,"Völkermarkter Straße 40
9300 St. Veit/Glan",+43-4212-39921,+43-4212-39921-20,office@apotheke.wayerfeld.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/sankt-veit-an-der-glan/991-apotheke-wayerfeld
99,Bären-Apotheke,"Unterer Platz 22
9300 St. Veit/Glan",+43-4212-2158,+43-4212-2158-18,info@baeren-apotheke.at,"{'Montag:': '8:00 - 18:00 ', 'Dienstag:': '8:00 - 18:00 ', 'Mittwoch:': '8:00 - 18:00 ', 'Donnerstag:': '8:00 - 18:00 ', 'Freitag:': '8:00 - 18:00 ', 'Samstag:': '8:00 - 12:00 '}",http://www.apothekenindex.at/apotheken/kaernten/sankt-veit-an-der-glan/943-baeren-apotheke
100,Vitus-Apotheke,"Hauptplatz 2
9300 St. Veit/Glan",+43-4212-2127,+43-4212-2127-4,vitus.apotheke@aon.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/sankt-veit-an-der-glan/942-vitus-apotheke
101,Salvator-Apotheke,"Kreuzstraße 10
9330 Althofen",+43-4262-2123,+43-4262-2123-12,office@apo-althofen.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/sankt-veit-an-der-glan/916-salvator-apotheke
102,Krappfeld Apotheke,"Industriepark Süd B 4
9330 Althofen",+43-4262-27927,+43-4262-27927-22,office@krappfeld-apotheke.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/sankt-veit-an-der-glan/1402-krappfeld-apotheke
103,Engel-Apotheke,"Hauptstraße 33
9341 Straßburg",+43-4266-3141,+43-4266-3141-4,apothekestrassburg@gmx.at,"{'Montag:': '8:00 - 12:30, 15:00 - 18:00', 'Dienstag:': '8:00 - 12:30, 15:00 - 18:00', 'Mittwoch:': '8:00 - 12:30, 15:00 - 18:00', 'Donnerstag:': '8:00 - 12:30, 15:00 - 18:00', 'Freitag:': '8:00 - 12:30, 15:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/sankt-veit-an-der-glan/946-engel-apotheke
104,Weitensfeld Apotheke,"Gurktal-Straße 10
9344 Weitensfeld",+43-4265-71172,+43-4265-71172-4,office@weitensfeld-apotheke.at,"{'Montag:': '8:00 - 12:30, 15:00 - 18:00', 'Dienstag:': '8:00 - 12:30, 15:00 - 18:00', 'Mittwoch:': '8:00 - 12:30, 15:00 - 18:00', 'Donnerstag:': '8:00 - 12:30, 15:00 - 18:00', 'Freitag:': '8:00 - 12:30, 15:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/sankt-veit-an-der-glan/1400-weitensfeld-apotheke
105,Stadt-Apotheke,"Industriestraße 6
9360 Friesach",+43-4268-2236,+43-4268-2236-78,paul.hauser@net4you.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/sankt-veit-an-der-glan/921-stadt-apotheke
